"pitches","player_id","player_name","total_pitches","pitch_percent","ba","iso","babip","slg","woba","xwoba","xba","hits","abs","launch_speed","launch_angle","spin_rate","velocity","effective_speed","whiffs","swings","takes","eff_min_vel","release_extension","pos3_int_start_distance","pos4_int_start_distance","pos5_int_start_distance","pos6_int_start_distance","pos7_int_start_distance","pos8_int_start_distance","pos9_int_start_distance","pitcher_run_exp","run_exp","bat_speed","swing_length","pa","bip","singles","doubles","triples","hrs","so","k_percent","bb","bb_percent","api_break_z_with_gravity","api_break_z_induced","api_break_x_arm","api_break_x_batter_in","hyper_speed","bbdist","hardhit_percent","barrels_per_bbe_percent","barrels_per_pa_percent","release_pos_z","release_pos_x","plate_x","plate_z","obp","barrels_total","batter_run_value_per_100","xobp","xslg","pitcher_run_value_per_100","xbadiff","xobpdiff","xslgdiff","wobadiff","swing_miss_percent","arm_angle","attack_angle","attack_direction","swing_path_tilt","rate_ideal_attack_angle","intercept_ball_minus_batter_pos_x_inches","intercept_ball_minus_batter_pos_y_inches"
2747,543257,"Grossman, Robbie",2747,100,0.229,0.129,0.286,0.358,0.309,0.302,0.221,128,559,87.5,17.7,2225,88.6,88.69,216,1027,1720,0.10000000000000853,6.38,111,147,117,148,296,324,296,"2.168","-2.168","65.8","6.4",663,415,83,31,1,13,154,23.2,91,13.7,2.37396,0.59184,0.35372,-0.35372,"91.1",164,33.734939759036145,5.542168674698795,3.469079939668175,5.79,-0.32,-0.05,2.32,0.335,23,"-0.078922461",0.331,0.332,"0.078922461",0.008,0.0040000000000000036,0.026,0.007,21,"38.6",11.304832868312763,-2.1877780500444675,35.08911187462237,0.4711864406779661,36.27222668689818,38.29478030162395
2742,671289,"Freeman, Tyler",2742,100,0.247,0.113,0.273,0.36,0.308,0.321,0.264,158,639,87.1,9.6,2282,89.5,89.76,195,1284,1457,0.29999999999999716,6.42,106,150,113,146,299,321,288,"10.185","-10.185","69.3","7.0",733,551,112,32,2,12,100,13.6,55,7.5,2.27351,0.61236,0.32989,-0.00504,"91.7",145,37.81818181818182,3.090909090909091,2.3192360163710775,5.75,-0.43,0.09,2.27,0.33,17,"-0.371444201",0.346,0.37,"0.371444201",-0.017,-0.01599999999999996,-0.01,-0.013,15.2,"38.4",1.442389072168115,-1.3342262546601769,35.012816717931585,0.31386861313868614,36.75041186376707,29.681321697718037
2730,672640,"Lopez, Otto",2730,100,0.261,0.118,0.294,0.379,0.305,0.333,0.281,181,694,87.8,6.7,2256,89.2,89.35,276,1333,1397,0.09999999999999432,6.48,106,150,115,147,303,317,286,"-0.545","0.545","68.9","6.6",755,580,132,32,1,16,119,15.8,52,6.9,2.32502,0.59921,0.35869,0.01117,"91.6",146,37.54325259515571,6.228373702422145,4.768211920529802,5.69,-0.6,0.21,2.22,0.314,36,"0.01996337",0.333,0.428,"-0.01996337",-0.02,-0.019000000000000017,-0.049,-0.028,20.7,"36.6",5.891500436094109,1.3838282957509862,30.634195457668643,0.4651702786377709,37.59818150946009,28.944193680843743
2728,608701,"Refsnyder, Rob",2728,100,0.269,0.15,0.34,0.42,0.344,0.336,0.256,156,579,89.3,12,2235,88.7,88.84,311,1165,1563,0.09999999999999432,6.42,108,150,120,146,292,322,294,"-15.086","15.086","71.1","7.5",670,427,105,32,2,17,157,23.4,73,10.9,2.32196,0.64188,0.3827,-0.13041,"92.0",147,41.88235294117647,7.764705882352942,4.925373134328359,5.71,0.32,0.13,2.33,0.36,33,"0.553005865",0.349,0.41,"-0.553005865",0.013,0.01100000000000001,0.01,0.008,26.7,"38.2",11.860110237664939,2.1068738845406405,33.07824717034585,0.5941375422773394,37.839036156247175,28.123576801240212
2710,605204,"Davis, J.D.",2710,100,0.24,0.152,0.306,0.392,0.31,0.312,0.236,151,630,90.5,6.5,2259,89.7,90.03,492,1433,1277,0.29999999999999716,6.47,108,151,122,147,305,323,292,"12.718","-12.718","70.9","7.2",710,443,100,28,1,22,193,27.2,63,8.9,2.20038,0.67732,0.36408,0.11424,"92.1",151,44.79638009049774,9.276018099547512,5.774647887323944,5.82,-0.69,0.08,2.41,0.315,41,"-0.469298893",0.314,0.394,"0.469298893",0.004,0.0010000000000000009,-0.002,-0.002,34.3,"39.4",6.7839741569895535,11.334743397390607,33.92220634625701,0.4418918918918919,38.95317636975889,21.474307939107106
2703,691016,"Soderstrom, Tyler",2703,100,0.234,0.172,0.28,0.407,0.315,0.339,0.25,155,661,90.9,8.6,2226,88.4,88.46,383,1327,1376,0.09999999999999432,6.41,116,146,121,151,296,325,302,"0.895","-0.895","72.2","7.5",740,479,100,25,1,29,186,25.1,66,8.9,2.51078,0.45842,0.36831,-0.28946,"92.6",155,46.764091858037574,11.899791231732777,7.7027027027027035,5.72,-1.26,-0.1,2.21,0.311,57,"-0.033111358",0.326,0.452,"0.033111358",-0.016,-0.015000000000000013,-0.045,-0.024,28.9,"36.4",10.939138130164173,1.6536901861101179,31.10730026537804,0.48984375,40.56203926198118,28.84793556570297
2697,656976,"Smith, Pavin",2697,100,0.238,0.191,0.288,0.429,0.34,0.347,0.243,131,550,90,12.8,2237,88.8,89.06,277,1074,1623,0.29999999999999716,6.46,117,146,120,151,293,325,303,"-12.283","12.283","70.2","7.3",649,395,75,31,1,24,160,24.7,92,14.2,2.45141,0.48757,0.28683,-0.21273,"92.1",152,43.90862944162436,10.913705583756345,6.6255778120184905,5.72,-1.35,-0.13,2.24,0.346,43,"0.455431961",0.352,0.434,"-0.455431961",-0.005,-0.006000000000000005,-0.005,-0.007,25.8,"37.5",12.260558526177231,0.22154858227041624,32.2750404718327,0.5050071530758226,37.901495384795986,28.701866885694212
2690,664702,"Straw, Myles",2690,100,0.241,0.062,0.293,0.303,0.27,0.277,0.243,153,634,84.6,9.8,2284,89.4,89.68,175,1209,1480,0.29999999999999716,6.46,104,148,105,145,295,312,276,"30.273","-30.273","64.0","6.6",708,529,121,27,3,2,124,17.5,52,7.3,2.20139,0.71126,0.33029,0.01934,"90.0",155,24.19047619047619,1.7142857142857144,1.2711864406779663,5.75,-0.59,0.12,2.36,0.299,9,"-1.125390335",0.302,0.319,"1.125390335",-0.002,-0.0030000000000000027,-0.016,-0.007,14.5,"39.4",2.843074977080448,4.071231923321619,34.61956717744255,0.3578125,35.15885084521003,24.1845783452201
2689,668904,"Lewis, Royce",2689,100,0.257,0.199,0.283,0.456,0.333,0.334,0.257,165,643,88.8,16.4,2269,88.9,89.26,349,1340,1349,0.3999999999999915,6.49,107,151,121,146,302,325,295,"-12.169","12.169","71.8","7.8",710,500,103,29,0,33,149,21,59,8.3,2.36395,0.56444,0.27239,0.01245,"92.1",158,40.2,11.200000000000001,7.887323943661972,5.78,-0.82,0.24,2.29,0.318,56,"0.452547415",0.319,0.454,"-0.452547415",0,-0.0010000000000000009,0.002,-0.001,26,"38.5",8.988376420569045,-4.631817265146686,27.613767006223593,0.6119402985074627,36.87267370924076,27.019936709444107
2689,642136,"Thaiss, Matt",2689,100,0.214,0.104,0.291,0.318,0.296,0.311,0.212,119,557,87.6,11.6,2243,90,90.18,425,1239,1450,0.20000000000000284,6.47,116,146,119,151,293,322,301,"5.728","-5.728","70.2","7.6",662,381,86,20,1,12,182,27.5,91,13.7,2.16067,0.70091,0.43565,-0.33728,"91.5",154,41.31578947368421,8.421052631578947,4.833836858006042,5.71,-1.31,-0.19,2.41,0.33,32,"-0.213015991",0.33,0.356,"0.213015991",0.002,0,-0.038,-0.015,34.3,"37.4",8.583713406889569,3.7918409520634,29.338845609175344,0.5305164319248826,36.21859498721184,29.184903275667416
